datetime,open,high,low,close,volume,Prev_High,Prev_Low,London_High,London_Low,swept_Prev_High,swept_Prev_Low,gap_up,gap_down,broke_Asia_High,broke_Asia_Low,London_Bias,NY_Position_vs_London,London_Momentum
2025-04-22 15:45:00-04:00,536.23,537.0,536.0,536.61,79078,541.6498,484.9358,525.6,513.88,False,False,False,False,False,False,up,2.090000000000032,0.0005407806555033562
2025-04-22 16:00:00-04:00,527.25,527.25,527.25,527.25,1431434,541.6498,484.9358,525.6,513.88,False,False,False,False,False,False,up,2.090000000000032,0.0005407806555033562
2025-04-23 00:00:00-04:00,536.63,537.6,535.22,537.6,41401,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 00:15:00-04:00,537.6,537.78,537.29,537.49,49626,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 00:30:00-04:00,537.47,538.54,537.47,538.36,25136,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 00:45:00-04:00,538.41,538.8,537.83,537.89,23125,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 01:00:00-04:00,537.94,538.44,537.94,538.38,59079,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 01:15:00-04:00,538.41,538.52,537.86,537.89,33912,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 01:30:00-04:00,537.96,537.99,537.19,537.19,45919,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 01:45:00-04:00,537.34,538.22,537.2,538.01,19606,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 02:00:00-04:00,538.05,538.46,537.96,538.13,18215,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 02:15:00-04:00,538.03,539.0,538.03,539.0,86023,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 02:30:00-04:00,538.97,539.65,538.72,539.58,66901,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 02:45:00-04:00,539.66,540.49,539.65,540.17,75260,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 03:00:00-04:00,540.12,540.72,540.0,540.4,159179,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 03:15:00-04:00,540.39,540.53,539.26,539.27,103921,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 03:30:00-04:00,539.26,539.68,538.91,538.96,186118,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 03:45:00-04:00,538.999,539.5,538.55,538.57,86459,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 04:00:00-04:00,540.17,540.71,527.25,539.265,271361,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 04:15:00-04:00,539.28,539.6,539.2,539.32,99944,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 04:30:00-04:00,539.32,540.47,539.2,540.33,213387,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 04:45:00-04:00,540.38,541.06,519.78,540.945,131437,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 05:00:00-04:00,540.93,541.0,539.07,539.61,242229,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 05:15:00-04:00,539.615,540.84,539.5806,540.5,244771,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 05:30:00-04:00,540.43,544.91,539.5101,542.7487,10118977,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 05:45:00-04:00,542.63,544.99,541.78,543.56,6469971,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 06:00:00-04:00,543.595,545.43,541.34,543.17,4469639,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 06:15:00-04:00,543.18,544.2865,540.75,543.88,3092138,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 06:30:00-04:00,543.82,545.2,540.9702,544.35,1812562,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 06:45:00-04:00,544.33,545.16,540.76,542.555,2442801,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 07:00:00-04:00,542.54,543.77,540.8,542.2501,2478399,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 07:15:00-04:00,542.29,543.93,537.67,538.6,4362424,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 07:30:00-04:00,538.59,544.92,536.94,537.89,2995489,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 07:45:00-04:00,537.8935,545.1,535.57,537.43,2293563,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 08:00:00-04:00,537.42,545.13,535.64,536.11,1824645,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 08:15:00-04:00,536.15,545.16,534.0,536.3,2747079,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 08:30:00-04:00,536.3,545.02,536.09,537.24,2012601,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 08:45:00-04:00,537.24,545.1075,535.79,538.22,1809514,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 09:00:00-04:00,538.2,545.11,536.19,539.05,1865391,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 09:15:00-04:00,539.04,545.1606,538.2,538.2,1217644,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 09:30:00-04:00,538.21,538.85,536.34,537.51,1404564,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 09:45:00-04:00,537.5204,545.1325,536.75,538.36,1396288,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 10:00:00-04:00,538.34,544.78,537.02,538.02,2103999,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 10:15:00-04:00,538.06,543.5785,536.26,536.57,2098366,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 10:30:00-04:00,536.57,545.095,535.97,536.0,1670244,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 10:45:00-04:00,535.995,544.29,535.8,536.36,1789625,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 11:00:00-04:00,536.36,545.13,535.04,535.6,1778734,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 11:15:00-04:00,535.575,545.06,534.1,534.63,2204033,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
2025-04-23 11:30:00-04:00,534.71,535.79,533.88,534.71,2899610,559.6838,494.5067,545.43,519.78,False,False,False,False,False,False,up,0.029999999999972715,0.007025324711626226
